product_id,product_name,category,description,material,grade,size,price,unit,MOQ,supplier,location,availability,rating
P0256,PVC Resin,Plastic,Industrial quality product suitable for bulk commercial procurement. PVC Resin in 500 kg specification.,PVC,K67,500 kg,137.12,meter,1000,ABC Industries,Chennai,In Stock,4.4
P0257,Industrial Electrical Switch,Electrical,Reliable supplier-grade material for manufacturing and industrial use. Industrial Electrical Switch in 16A specification.,Polycarbonate,Heavy Duty,16A,760.03,box,100,Sri Lakshmi Enterprises,Erode,In Stock,3.8
P0258,Titanium Dioxide,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Titanium Dioxide in 500 kg specification.,Titanium Dioxide,Rutile Grade,500 kg,402.2,box,50,Kaveri Industrial Solutions,Madurai,Limited Stock,4.4
P0259,Industrial Polyester Yarn,Textiles,Quality-tested product with bulk supply capability. Industrial Polyester Yarn in 20s specification.,Polyester,Spun,20s,357.63,meter,50,Sri Lakshmi Enterprises,Erode,In Stock,4.2
P0260,CNC Turning Machine,Machinery,Reliable supplier-grade material for manufacturing and industrial use. CNC Turning Machine in 3 Axis specification.,Cast Iron,CNC,3 Axis,371846.48,piece,5,Global Trade Hub,Mumbai,Limited Stock,4.0
P0261,Hydraulic Press Machine,Machinery,Reliable supplier-grade material for manufacturing and industrial use. Hydraulic Press Machine in 50 Ton specification.,Steel,Hydraulic,50 Ton,424600.72,piece,2,Universal B2B Supplies,Kolkata,In Stock,4.1
P0262,Hydraulic Press Machine,Machinery,Reliable supplier-grade material for manufacturing and industrial use. Hydraulic Press Machine in 20 Ton specification.,Steel,Hydraulic,20 Ton,139885.03,piece,5,Evergreen Manufacturing,Ahmedabad,In Stock,4.9
P0263,Stainless Steel Nut,Hardware,Quality-tested product with bulk supply capability. Stainless Steel Nut in M12 specification.,Stainless Steel,304,M12,1247.26,piece,500,National Engineering Works,Hyderabad,In Stock,4.5
P0264,Cotton Grey Fabric,Textiles,Quality-tested product with bulk supply capability. Cotton Grey Fabric in 60 inch specification.,Cotton,Greige,60 inch,677.88,meter,10,Sri Lakshmi Enterprises,Erode,Limited Stock,4.4
P0265,Lead Acid Automotive Battery,Automotive,Industrial quality product suitable for bulk commercial procurement. Lead Acid Automotive Battery in 75 Ah specification.,Lead Acid,Maintenance Free,75 Ah,9520.04,box,500,ABC Industries,Chennai,In Stock,4.7
P0266,PP Woven Sack,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. PP Woven Sack in 25 kg specification.",Polypropylene,Laminated,25 kg,245.98,kg,500,Evergreen Manufacturing,Ahmedabad,Limited Stock,3.7
P0267,PVC Resin,Plastic,"Suitable for wholesale buyers, distributors, and regular business orders. PVC Resin in 25 kg specification.",PVC,K67,25 kg,241.78,piece,100,Techno Supply Co,Pune,Limited Stock,4.2
P0268,Ceramic Wall Tile,Construction Materials,Industrial quality product suitable for bulk commercial procurement. Ceramic Wall Tile in 300x600 mm specification.,Ceramic,Glossy,300x600 mm,874.16,box,100,ABC Industries,Chennai,In Stock,4.7
P0269,LED Panel Light,Electrical,Quality-tested product with bulk supply capability. LED Panel Light in 24W specification.,Aluminium,Commercial,24W,1203.69,piece,250,Global Trade Hub,Mumbai,In Stock,4.2
P0270,Industrial Bearing,Hardware,Industrial quality product suitable for bulk commercial procurement. Industrial Bearing in 6205 specification.,Chrome Steel,6200 Series,6205,451.8,kg,50,Prime Traders,Coimbatore,In Stock,4.5
P0271,MCB Circuit Breaker,Electrical,Reliable supplier-grade material for manufacturing and industrial use. MCB Circuit Breaker in 16A specification.,Thermoplastic,B Curve,16A,501.12,meter,100,Techno Supply Co,Pune,Limited Stock,4.4
P0272,Industrial Electrical Switch,Electrical,Quality-tested product with bulk supply capability. Industrial Electrical Switch in 32A specification.,Polycarbonate,Heavy Duty,32A,1874.98,piece,100,ABC Industries,Chennai,Limited Stock,3.5
P0273,Polyester Fabric Roll,Textiles,Industrial quality product suitable for bulk commercial procurement. Polyester Fabric Roll in 1.8 m specification.,Polyester,Knitted,1.8 m,750.81,kg,250,Universal B2B Supplies,Kolkata,In Stock,4.0
P0274,Industrial Polyester Yarn,Textiles,"Suitable for wholesale buyers, distributors, and regular business orders. Industrial Polyester Yarn in 20s specification.",Polyester,Spun,20s,643.15,meter,250,National Engineering Works,Hyderabad,Limited Stock,4.4
P0275,Portland Cement,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. Portland Cement in 50 kg specification.",Cement,OPC 53 Grade,50 kg,1523.48,piece,1000,Global Trade Hub,Mumbai,In Stock,4.5
P0276,Corrugated Shipping Box,Packaging,Quality-tested product with bulk supply capability. Corrugated Shipping Box in 12x10x8 inch specification.,Kraft Paper,5 Ply,12x10x8 inch,33.65,box,100,National Engineering Works,Hyderabad,Limited Stock,4.4
P0277,Construction Plywood,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. Construction Plywood in 12 mm specification.,Hardwood,MR Grade,12 mm,881.14,piece,250,Sri Lakshmi Enterprises,Erode,Limited Stock,3.9
P0278,LED Panel Light,Electrical,Quality-tested product with bulk supply capability. LED Panel Light in 36W specification.,Aluminium,Commercial,36W,247.59,box,10,Evergreen Manufacturing,Ahmedabad,In Stock,3.8
P0279,Industrial Water Pump,Machinery,Quality-tested product with bulk supply capability. Industrial Water Pump in 5 HP specification.,Cast Iron,Centrifugal,5 HP,307742.38,piece,5,Apex Components,Delhi,Limited Stock,3.8
P0280,Portland Cement,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. Portland Cement in 25 kg specification.",Cement,OPC 53 Grade,25 kg,68.52,piece,250,National Engineering Works,Hyderabad,In Stock,4.7
P0281,Construction Plywood,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. Construction Plywood in 18 mm specification.",Hardwood,MR Grade,18 mm,212.65,kg,50,Techno Supply Co,Pune,In Stock,4.6
P0282,Stainless Steel Nut,Hardware,"Suitable for wholesale buyers, distributors, and regular business orders. Stainless Steel Nut in M12 specification.",Stainless Steel,304,M12,1104.51,kg,100,Prime Traders,Coimbatore,In Stock,4.2
P0283,Corrugated Shipping Box,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. Corrugated Shipping Box in 18x12x10 inch specification.",Kraft Paper,5 Ply,18x12x10 inch,195.03,piece,100,Prime Traders,Coimbatore,Limited Stock,3.7
P0284,MCB Circuit Breaker,Electrical,Reliable supplier-grade material for manufacturing and industrial use. MCB Circuit Breaker in 16A specification.,Thermoplastic,B Curve,16A,1476.78,box,250,ABC Industries,Chennai,In Stock,5.0
P0285,Calcium Carbonate Powder,Chemicals,Quality-tested product with bulk supply capability. Calcium Carbonate Powder in 1000 kg specification.,Calcium Carbonate,Industrial Grade,1000 kg,478.58,kg,25,National Engineering Works,Hyderabad,In Stock,5.0
P0286,MCB Circuit Breaker,Electrical,Quality-tested product with bulk supply capability. MCB Circuit Breaker in 16A specification.,Thermoplastic,B Curve,16A,1813.12,piece,1000,Sri Lakshmi Enterprises,Erode,Limited Stock,3.7
P0287,Titanium Dioxide,Chemicals,"Suitable for wholesale buyers, distributors, and regular business orders. Titanium Dioxide in 500 kg specification.",Titanium Dioxide,Rutile Grade,500 kg,83.98,kg,100,Kaveri Industrial Solutions,Madurai,In Stock,4.2
P0288,Door Hinge,Hardware,Quality-tested product with bulk supply capability. Door Hinge in 5 inch specification.,Stainless Steel,Heavy Duty,5 inch,1303.62,kg,50,ABC Industries,Chennai,In Stock,4.8
P0289,Lead Acid Automotive Battery,Automotive,"Suitable for wholesale buyers, distributors, and regular business orders. Lead Acid Automotive Battery in 35 Ah specification.",Lead Acid,Maintenance Free,35 Ah,9924.44,meter,50,South India Materials,Salem,In Stock,4.0
P0290,Ceramic Wall Tile,Construction Materials,Industrial quality product suitable for bulk commercial procurement. Ceramic Wall Tile in 600x600 mm specification.,Ceramic,Glossy,600x600 mm,1421.06,kg,10,Kaveri Industrial Solutions,Madurai,Limited Stock,3.5
P0291,Industrial Electrical Switch,Electrical,Reliable supplier-grade material for manufacturing and industrial use. Industrial Electrical Switch in 32A specification.,Polycarbonate,Heavy Duty,32A,2480.58,meter,25,ABC Industries,Chennai,In Stock,3.7
P0292,Caustic Soda Flakes,Chemicals,Quality-tested product with bulk supply capability. Caustic Soda Flakes in 50 kg specification.,Sodium Hydroxide,Industrial Grade,50 kg,87.09,piece,10,National Engineering Works,Hyderabad,In Stock,4.6
P0293,Industrial Polyester Yarn,Textiles,Quality-tested product with bulk supply capability. Industrial Polyester Yarn in 40s specification.,Polyester,Spun,40s,668.88,kg,25,Prime Traders,Coimbatore,In Stock,3.7
P0294,Industrial Polyester Yarn,Textiles,Quality-tested product with bulk supply capability. Industrial Polyester Yarn in 20s specification.,Polyester,Spun,20s,662.57,kg,1000,ABC Industries,Chennai,In Stock,4.2
P0295,Industrial Polyester Yarn,Textiles,"Suitable for wholesale buyers, distributors, and regular business orders. Industrial Polyester Yarn in 20s specification.",Polyester,Spun,20s,748.65,kg,50,Universal B2B Supplies,Kolkata,In Stock,3.7
P0296,MCB Circuit Breaker,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. MCB Circuit Breaker in 6A specification.",Thermoplastic,B Curve,6A,1460.63,piece,100,Techno Supply Co,Pune,In Stock,4.4
P0297,Industrial Electrical Switch,Electrical,Industrial quality product suitable for bulk commercial procurement. Industrial Electrical Switch in 63A specification.,Polycarbonate,Heavy Duty,63A,1172.87,piece,10,Apex Components,Delhi,In Stock,4.6
P0298,Construction Plywood,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. Construction Plywood in 12 mm specification.",Hardwood,MR Grade,12 mm,572.96,piece,25,South India Materials,Salem,In Stock,3.9
P0299,AAC Block,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. AAC Block in 600x200x100 mm specification.,Autoclaved Aerated Concrete,Grade 4,600x200x100 mm,1577.73,piece,250,Apex Components,Delhi,Limited Stock,3.9
P0300,Carbon Steel Pipe,Steel,Industrial quality product suitable for bulk commercial procurement. Carbon Steel Pipe in 4 inch specification.,Carbon steel,IS 2062,4 inch,121.72,meter,500,South India Materials,Salem,In Stock,5.0
P0301,PP Woven Sack,Packaging,Quality-tested product with bulk supply capability. PP Woven Sack in 50 kg specification.,Polypropylene,Laminated,50 kg,108.11,kg,100,Evergreen Manufacturing,Ahmedabad,In Stock,3.5
P0302,HDPE Granules,Plastic,Quality-tested product with bulk supply capability. HDPE Granules in 500 kg specification.,HDPE,Injection Grade,500 kg,79.16,kg,1000,Metro Industrial Supplies,Bengaluru,In Stock,4.4
P0303,Lead Acid Automotive Battery,Automotive,Industrial quality product suitable for bulk commercial procurement. Lead Acid Automotive Battery in 55 Ah specification.,Lead Acid,Maintenance Free,55 Ah,4916.99,piece,50,Universal B2B Supplies,Kolkata,In Stock,3.6
P0304,Polyester Fabric Roll,Textiles,Quality-tested product with bulk supply capability. Polyester Fabric Roll in 2 m specification.,Polyester,Knitted,2 m,424.77,kg,50,Global Trade Hub,Mumbai,In Stock,3.6
P0305,LDPE Film Roll,Plastic,Reliable supplier-grade material for manufacturing and industrial use. LDPE Film Roll in 50 micron specification.,LDPE,Film Grade,50 micron,210.83,kg,50,Kaveri Industrial Solutions,Madurai,In Stock,3.5
P0306,Copper Electrical Cable,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. Copper Electrical Cable in 2.5 sq mm specification.",Copper,FR,2.5 sq mm,2388.18,box,25,Kaveri Industrial Solutions,Madurai,In Stock,4.6
P0307,Caustic Soda Flakes,Chemicals,Industrial quality product suitable for bulk commercial procurement. Caustic Soda Flakes in 25 kg specification.,Sodium Hydroxide,Industrial Grade,25 kg,413.2,box,250,Global Trade Hub,Mumbai,In Stock,4.6
P0308,Portland Cement,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. Portland Cement in 50 kg specification.,Cement,OPC 53 Grade,50 kg,924.3,kg,100,Kaveri Industrial Solutions,Madurai,In Stock,3.7
P0309,HDPE Granules,Plastic,Industrial quality product suitable for bulk commercial procurement. HDPE Granules in 25 kg specification.,HDPE,Injection Grade,25 kg,187.03,kg,1000,Universal B2B Supplies,Kolkata,In Stock,3.6
P0310,PET Packaging Bottle,Packaging,Quality-tested product with bulk supply capability. PET Packaging Bottle in 250 ml specification.,PET,Food Grade,250 ml,233.13,piece,1000,Sri Lakshmi Enterprises,Erode,In Stock,4.0
P0311,Hydraulic Press Machine,Machinery,Industrial quality product suitable for bulk commercial procurement. Hydraulic Press Machine in 50 Ton specification.,Steel,Hydraulic,50 Ton,353633.18,piece,1,Prime Traders,Coimbatore,In Stock,3.8
P0312,Automotive Brake Pad,Automotive,"Suitable for wholesale buyers, distributors, and regular business orders. Automotive Brake Pad in Rear specification.",Semi Metallic,OEM Grade,Rear,10542.35,box,1000,Prime Traders,Coimbatore,In Stock,3.6
P0313,Hex Bolt,Hardware,Reliable supplier-grade material for manufacturing and industrial use. Hex Bolt in M10 specification.,Carbon Steel,Grade 8.8,M10,438.81,box,1000,Metro Industrial Supplies,Bengaluru,Limited Stock,4.1
P0314,Stainless Steel Nut,Hardware,Reliable supplier-grade material for manufacturing and industrial use. Stainless Steel Nut in M8 specification.,Stainless Steel,304,M8,11.55,box,50,Sri Lakshmi Enterprises,Erode,In Stock,4.5
P0315,GI Steel Sheet,Steel,Reliable supplier-grade material for manufacturing and industrial use. GI Steel Sheet in 0.5 mm specification.,Galvanized steel,IS 277,0.5 mm,219.22,box,10,Apex Components,Delhi,In Stock,4.1
P0316,Carbon Steel Pipe,Steel,Quality-tested product with bulk supply capability. Carbon Steel Pipe in 3 inch specification.,Carbon steel,IS 2062,3 inch,96.24,piece,1000,Prime Traders,Coimbatore,In Stock,4.2
P0317,HDPE Granules,Plastic,Industrial quality product suitable for bulk commercial procurement. HDPE Granules in 1000 kg specification.,HDPE,Injection Grade,1000 kg,216.56,meter,10,Sri Lakshmi Enterprises,Erode,Limited Stock,4.5
P0318,MCB Circuit Breaker,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. MCB Circuit Breaker in 32A specification.",Thermoplastic,B Curve,32A,2145.17,meter,500,National Engineering Works,Hyderabad,In Stock,4.2
P0319,100% Cotton T-Shirt,Textiles,Industrial quality product suitable for bulk commercial procurement. 100% Cotton T-Shirt in M specification.,Cotton,Combed,M,728.35,kg,25,Sri Lakshmi Enterprises,Erode,In Stock,4.2
P0320,PET Packaging Bottle,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. PET Packaging Bottle in 250 ml specification.",PET,Food Grade,250 ml,92.78,piece,500,Techno Supply Co,Pune,Limited Stock,3.9
P0321,HDPE Granules,Plastic,"Suitable for wholesale buyers, distributors, and regular business orders. HDPE Granules in 25 kg specification.",HDPE,Injection Grade,25 kg,139.97,kg,25,Apex Components,Delhi,In Stock,3.6
P0322,Cotton Grey Fabric,Textiles,Reliable supplier-grade material for manufacturing and industrial use. Cotton Grey Fabric in 58 inch specification.,Cotton,Greige,58 inch,158.18,box,50,Techno Supply Co,Pune,In Stock,4.9
P0323,Stainless Steel Nut,Hardware,Industrial quality product suitable for bulk commercial procurement. Stainless Steel Nut in M6 specification.,Stainless Steel,304,M6,154.66,piece,50,Kaveri Industrial Solutions,Madurai,In Stock,4.7
P0324,Polyester Fabric Roll,Textiles,"Suitable for wholesale buyers, distributors, and regular business orders. Polyester Fabric Roll in 1.5 m specification.",Polyester,Knitted,1.5 m,410.35,kg,250,South India Materials,Salem,In Stock,3.5
P0325,PP Granules,Plastic,"Suitable for wholesale buyers, distributors, and regular business orders. PP Granules in 1000 kg specification.",Polypropylene,Injection Grade,1000 kg,256.14,kg,1000,Kaveri Industrial Solutions,Madurai,In Stock,3.6
P0326,Hex Bolt,Hardware,Quality-tested product with bulk supply capability. Hex Bolt in M8 specification.,Carbon Steel,Grade 8.8,M8,650.87,kg,500,Evergreen Manufacturing,Ahmedabad,In Stock,4.1
P0327,CNC Turning Machine,Machinery,"Suitable for wholesale buyers, distributors, and regular business orders. CNC Turning Machine in 3 Axis specification.",Cast Iron,CNC,3 Axis,547274.92,piece,2,Metro Industrial Supplies,Bengaluru,Limited Stock,4.8
P0328,Carbon Steel Pipe,Steel,Industrial quality product suitable for bulk commercial procurement. Carbon Steel Pipe in 3 inch specification.,Carbon steel,IS 2062,3 inch,232.44,meter,10,Kaveri Industrial Solutions,Madurai,In Stock,4.1
P0329,CNC Turning Machine,Machinery,Industrial quality product suitable for bulk commercial procurement. CNC Turning Machine in 2 Axis specification.,Cast Iron,CNC,2 Axis,596600.18,piece,5,Apex Components,Delhi,Limited Stock,4.7
P0330,PET Packaging Bottle,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. PET Packaging Bottle in 1 L specification.",PET,Food Grade,1 L,89.29,kg,1000,Kaveri Industrial Solutions,Madurai,Limited Stock,3.9
P0331,GI Steel Sheet,Steel,Quality-tested product with bulk supply capability. GI Steel Sheet in 1 mm specification.,Galvanized steel,IS 277,1 mm,411.43,box,10,ABC Industries,Chennai,In Stock,4.7
P0332,Polyester Fabric Roll,Textiles,Industrial quality product suitable for bulk commercial procurement. Polyester Fabric Roll in 1.5 m specification.,Polyester,Knitted,1.5 m,632.35,box,250,Metro Industrial Supplies,Bengaluru,In Stock,4.4
P0333,Hydraulic Press Machine,Machinery,"Suitable for wholesale buyers, distributors, and regular business orders. Hydraulic Press Machine in 20 Ton specification.",Steel,Hydraulic,20 Ton,161016.9,piece,2,Sri Lakshmi Enterprises,Erode,In Stock,4.6
P0334,PP Woven Sack,Packaging,Industrial quality product suitable for bulk commercial procurement. PP Woven Sack in 25 kg specification.,Polypropylene,Laminated,25 kg,137.82,piece,500,Kaveri Industrial Solutions,Madurai,In Stock,3.6
P0335,Ceramic Wall Tile,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. Ceramic Wall Tile in 300x450 mm specification.,Ceramic,Glossy,300x450 mm,865.6,box,250,Techno Supply Co,Pune,In Stock,4.0
P0336,LED Panel Light,Electrical,Industrial quality product suitable for bulk commercial procurement. LED Panel Light in 12W specification.,Aluminium,Commercial,12W,471.55,piece,1000,ABC Industries,Chennai,In Stock,4.9
P0337,PET Packaging Bottle,Packaging,Reliable supplier-grade material for manufacturing and industrial use. PET Packaging Bottle in 1 L specification.,PET,Food Grade,1 L,87.46,box,100,Prime Traders,Coimbatore,Limited Stock,4.7
P0338,Door Hinge,Hardware,"Suitable for wholesale buyers, distributors, and regular business orders. Door Hinge in 3 inch specification.",Stainless Steel,Heavy Duty,3 inch,1453.18,kg,1000,Universal B2B Supplies,Kolkata,In Stock,4.5
P0339,Industrial Electrical Switch,Electrical,Industrial quality product suitable for bulk commercial procurement. Industrial Electrical Switch in 32A specification.,Polycarbonate,Heavy Duty,32A,1758.63,piece,25,Universal B2B Supplies,Kolkata,Limited Stock,4.8
P0340,Portland Cement,Construction Materials,Industrial quality product suitable for bulk commercial procurement. Portland Cement in 25 kg specification.,Cement,OPC 53 Grade,25 kg,579.61,piece,500,Evergreen Manufacturing,Ahmedabad,Limited Stock,3.7
P0341,PP Granules,Plastic,"Suitable for wholesale buyers, distributors, and regular business orders. PP Granules in 500 kg specification.",Polypropylene,Injection Grade,500 kg,108.61,kg,1000,Global Trade Hub,Mumbai,Limited Stock,3.5
P0342,Polyester Fabric Roll,Textiles,Industrial quality product suitable for bulk commercial procurement. Polyester Fabric Roll in 2 m specification.,Polyester,Knitted,2 m,393.38,kg,500,Prime Traders,Coimbatore,In Stock,4.1
P0343,CNC Turning Machine,Machinery,Quality-tested product with bulk supply capability. CNC Turning Machine in 3 Axis specification.,Cast Iron,CNC,3 Axis,532018.13,piece,2,Kaveri Industrial Solutions,Madurai,In Stock,4.7
P0344,Ceramic Wall Tile,Construction Materials,Industrial quality product suitable for bulk commercial procurement. Ceramic Wall Tile in 300x450 mm specification.,Ceramic,Glossy,300x450 mm,141.94,kg,50,Kaveri Industrial Solutions,Madurai,In Stock,3.9
P0345,HDPE Granules,Plastic,Industrial quality product suitable for bulk commercial procurement. HDPE Granules in 500 kg specification.,HDPE,Injection Grade,500 kg,274.22,piece,500,Sri Lakshmi Enterprises,Erode,In Stock,4.0
P0346,Construction Plywood,Construction Materials,Quality-tested product with bulk supply capability. Construction Plywood in 18 mm specification.,Hardwood,MR Grade,18 mm,782.07,piece,250,ABC Industries,Chennai,In Stock,3.6
P0347,PP Woven Sack,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. PP Woven Sack in 25 kg specification.",Polypropylene,Laminated,25 kg,175.81,kg,1000,South India Materials,Salem,In Stock,3.9
P0348,HDPE Granules,Plastic,Industrial quality product suitable for bulk commercial procurement. HDPE Granules in 500 kg specification.,HDPE,Injection Grade,500 kg,196.42,meter,25,Evergreen Manufacturing,Ahmedabad,In Stock,3.5
P0349,PVC Resin,Plastic,Industrial quality product suitable for bulk commercial procurement. PVC Resin in 1000 kg specification.,PVC,K67,1000 kg,208.05,piece,10,Apex Components,Delhi,In Stock,3.8
P0350,Caustic Soda Flakes,Chemicals,Quality-tested product with bulk supply capability. Caustic Soda Flakes in 50 kg specification.,Sodium Hydroxide,Industrial Grade,50 kg,188.76,meter,100,Prime Traders,Coimbatore,In Stock,3.6
P0351,Lead Acid Automotive Battery,Automotive,Quality-tested product with bulk supply capability. Lead Acid Automotive Battery in 35 Ah specification.,Lead Acid,Maintenance Free,35 Ah,10643.09,box,25,Global Trade Hub,Mumbai,In Stock,3.9
P0352,Door Hinge,Hardware,Industrial quality product suitable for bulk commercial procurement. Door Hinge in 3 inch specification.,Stainless Steel,Heavy Duty,3 inch,847.24,piece,50,National Engineering Works,Hyderabad,In Stock,4.7
P0353,CNC Turning Machine,Machinery,Quality-tested product with bulk supply capability. CNC Turning Machine in 2 Axis specification.,Cast Iron,CNC,2 Axis,495583.0,piece,2,South India Materials,Salem,In Stock,4.2
P0354,LDPE Film Roll,Plastic,Quality-tested product with bulk supply capability. LDPE Film Roll in 150 micron specification.,LDPE,Film Grade,150 micron,185.48,piece,10,ABC Industries,Chennai,In Stock,4.9
P0355,MCB Circuit Breaker,Electrical,Quality-tested product with bulk supply capability. MCB Circuit Breaker in 16A specification.,Thermoplastic,B Curve,16A,221.57,kg,500,Sri Lakshmi Enterprises,Erode,In Stock,5.0
P0356,LED Panel Light,Electrical,Quality-tested product with bulk supply capability. LED Panel Light in 24W specification.,Aluminium,Commercial,24W,2295.73,kg,10,Universal B2B Supplies,Kolkata,Limited Stock,4.3
P0357,Titanium Dioxide,Chemicals,Quality-tested product with bulk supply capability. Titanium Dioxide in 25 kg specification.,Titanium Dioxide,Rutile Grade,25 kg,330.38,meter,10,Universal B2B Supplies,Kolkata,In Stock,3.7
P0358,Portland Cement,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. Portland Cement in 25 kg specification.",Cement,OPC 53 Grade,25 kg,1405.39,box,1000,Evergreen Manufacturing,Ahmedabad,Limited Stock,3.9
P0359,Industrial Bearing,Hardware,Quality-tested product with bulk supply capability. Industrial Bearing in 6202 specification.,Chrome Steel,6200 Series,6202,414.57,piece,1000,Sri Lakshmi Enterprises,Erode,In Stock,4.1
P0360,PP Woven Sack,Packaging,Industrial quality product suitable for bulk commercial procurement. PP Woven Sack in 25 kg specification.,Polypropylene,Laminated,25 kg,121.43,box,250,Universal B2B Supplies,Kolkata,In Stock,4.7
P0361,Calcium Carbonate Powder,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Calcium Carbonate Powder in 500 kg specification.,Calcium Carbonate,Industrial Grade,500 kg,436.21,kg,1000,Kaveri Industrial Solutions,Madurai,In Stock,4.0
P0362,Door Hinge,Hardware,Reliable supplier-grade material for manufacturing and industrial use. Door Hinge in 4 inch specification.,Stainless Steel,Heavy Duty,4 inch,626.33,kg,50,Universal B2B Supplies,Kolkata,Limited Stock,3.8
P0363,Industrial Water Pump,Machinery,Reliable supplier-grade material for manufacturing and industrial use. Industrial Water Pump in 10 HP specification.,Cast Iron,Centrifugal,10 HP,497085.0,piece,5,Global Trade Hub,Mumbai,In Stock,4.0
P0364,Lead Acid Automotive Battery,Automotive,Reliable supplier-grade material for manufacturing and industrial use. Lead Acid Automotive Battery in 35 Ah specification.,Lead Acid,Maintenance Free,35 Ah,10570.09,kg,25,Techno Supply Co,Pune,In Stock,4.8
P0365,100% Cotton T-Shirt,Textiles,"Suitable for wholesale buyers, distributors, and regular business orders. 100% Cotton T-Shirt in XL specification.",Cotton,Combed,XL,836.06,piece,50,ABC Industries,Chennai,Limited Stock,4.3
P0366,HDPE Granules,Plastic,Quality-tested product with bulk supply capability. HDPE Granules in 25 kg specification.,HDPE,Injection Grade,25 kg,182.42,meter,25,Global Trade Hub,Mumbai,In Stock,4.0
P0367,Caustic Soda Flakes,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Caustic Soda Flakes in 50 kg specification.,Sodium Hydroxide,Industrial Grade,50 kg,223.95,piece,1000,ABC Industries,Chennai,In Stock,4.5
P0368,Cotton Grey Fabric,Textiles,Reliable supplier-grade material for manufacturing and industrial use. Cotton Grey Fabric in 60 inch specification.,Cotton,Greige,60 inch,520.36,kg,100,South India Materials,Salem,In Stock,4.4
P0369,Carbon Steel Pipe,Steel,"Suitable for wholesale buyers, distributors, and regular business orders. Carbon Steel Pipe in 3 inch specification.",Carbon steel,IS 2062,3 inch,377.88,box,500,Evergreen Manufacturing,Ahmedabad,Limited Stock,4.8
P0370,PET Packaging Bottle,Packaging,Quality-tested product with bulk supply capability. PET Packaging Bottle in 500 ml specification.,PET,Food Grade,500 ml,119.34,kg,1000,Metro Industrial Supplies,Bengaluru,In Stock,3.5
P0371,Stretch Film Roll,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. Stretch Film Roll in 30 micron specification.",LLDPE,Industrial,30 micron,31.49,piece,250,Apex Components,Delhi,In Stock,4.8
P0372,Calcium Carbonate Powder,Chemicals,Quality-tested product with bulk supply capability. Calcium Carbonate Powder in 25 kg specification.,Calcium Carbonate,Industrial Grade,25 kg,282.78,piece,10,Sri Lakshmi Enterprises,Erode,In Stock,4.5
P0373,MS Steel Plate,Steel,Industrial quality product suitable for bulk commercial procurement. MS Steel Plate in 8 mm specification.,Mild steel,IS 2062,8 mm,415.56,meter,100,National Engineering Works,Hyderabad,In Stock,4.0
P0374,Industrial Polyester Yarn,Textiles,Reliable supplier-grade material for manufacturing and industrial use. Industrial Polyester Yarn in 40s specification.,Polyester,Spun,40s,515.71,piece,1000,Global Trade Hub,Mumbai,In Stock,3.6
P0375,LED Panel Light,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. LED Panel Light in 18W specification.",Aluminium,Commercial,18W,2261.03,kg,25,Apex Components,Delhi,In Stock,4.6
P0376,Titanium Dioxide,Chemicals,Industrial quality product suitable for bulk commercial procurement. Titanium Dioxide in 500 kg specification.,Titanium Dioxide,Rutile Grade,500 kg,167.25,box,100,Global Trade Hub,Mumbai,Limited Stock,3.6
P0377,Portland Cement,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. Portland Cement in 50 kg specification.",Cement,OPC 53 Grade,50 kg,905.85,meter,250,Metro Industrial Supplies,Bengaluru,Limited Stock,3.6
P0378,MCB Circuit Breaker,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. MCB Circuit Breaker in 16A specification.",Thermoplastic,B Curve,16A,1093.88,meter,25,Global Trade Hub,Mumbai,In Stock,4.7
P0379,Door Hinge,Hardware,Quality-tested product with bulk supply capability. Door Hinge in 5 inch specification.,Stainless Steel,Heavy Duty,5 inch,471.49,piece,50,Sri Lakshmi Enterprises,Erode,In Stock,3.8
P0380,MCB Circuit Breaker,Electrical,Quality-tested product with bulk supply capability. MCB Circuit Breaker in 63A specification.,Thermoplastic,B Curve,63A,427.99,meter,500,Prime Traders,Coimbatore,Limited Stock,4.1
